吴京,6558
张译,5042
邓超,7521
白百何,3171
徐峥,9715
沈腾,10849
王宝强,6461
梁朝伟,5282
马克·沃尔伯格,792
艾伦,2386
成龙,10971
韩庚,2078
吴亦凡,25516
陈坤,13575
黄轩,17589
井柏然,4184
沈腾,10849
徐峥,9715
黄渤,6102
徐峥,9715
周润发,12934
马特·达蒙,1251
文章,5337
郭富城,7537
张涵予,1761
黄渤,6102
邓超,7521
周润发,12934
甄子丹,4527
杰克·布莱克,269
井柏然,4184
周润发,12934
成龙,10971
张磊,1736
冯小刚,6989
张涵予,1761
成龙,10971
雷佳音,6040
大鹏,2531
王宝强,6461
汤姆·克鲁斯,1245
汤唯,7659
邓超,7521
小罗伯特·唐尼,2309
王宝强,6461
甄子丹,4527
章子怡,8898
郭富城,7537
成龙,10971
葛优,1985
冯绍峰,22554
周迅,11193
成龙,10971
林志颖,22213
彭于晏,10762
赵又廷,4028
邓超,7521
郭富城,7537
肖央,2093
姜文,3817
邓超,7521
冯绍峰,22554
邓超,7521
赵又廷,4028
张伟,1153
张家辉,4447
黄才伦,723
克里斯蒂安·贝尔,750
赵又廷,4028
彭于晏,10762
季冠霖,1253
彭于晏,10762
甄子丹,4527
陈赫,4900
吴京,6558
李连杰,11175
吴京,6558
黄晓明,13511
成龙,10971
成龙,10971
黄轩,17589
刘亦菲,21803
周润发,12934
古天乐,22675
徐帆,1784
汤唯,7659
杨幂,25210
李易峰,12439
白百何,3171
姜文,3817
陈都灵,3757
杨幂,25210
杨幂,25210
范冰冰,36341
尚雯婕,3404
梁朝伟,5282
大鹏,2531
杨颖,14553
周冬雨,9259
西尔维斯特·史泰龙,483
葛优,1985
古天乐,22675
陈坤,13575
唐国强,2869
吴镇宇,1878
梁家辉,3464
王凯,5710
王宝强,6461
刘德华,17176
范冰冰,36341
范冰冰,36341
张子枫,8984
李易峰,12439
张国立,4296
陈坤,13575
杨子姗,4070
韩庚,2078
徐峥,9715
吴君如,1475
赵英博,7960
赵薇,9745
吴亦凡,25516
西尔维斯特·史泰龙,483
洪金宝,5499
黄晓明,13511
白客,2069
赵薇,9745
白百何,3171
刘德华,17176
郑伊健,5952
李晨,7051
刘青云,2186
邓超,7521
廖凡,1496
成龙,10971
大鹏,2531
刘德华,17176
杨幂,25210
张伟,1153
黄渤,6102
冯绍峰,22554
梁朝伟,5282
陈道明,3839
张伟,1153
杨颖,14553
刘德华,17176
高圆圆,7546
姚晨,2473
文章,5337
梁朝伟,5282
李连杰,11175
吴亦凡,25516
甄子丹,4527
郑爽,13775
张震,3533
徐峥,9715
刘烨,4540
文章,5337
葛优,1985
刘德华,17176
张秉君,0
徐峥,9715
郑恺,3582
甄子丹,4527
卢克·布雷西,0
小沈阳,7075
刘青云,2186
刘德华,17176
梁朝伟,5282
梁朝伟,5282
赵又廷,4028
甄子丹,4527
谢霆锋,10527
陈建斌,3007
邓超,7521
周迅,11193
黄磊,4337
刘德华,17176
王俊凯,21380
张智霖,5229
杨幂,25210
刘德华,17176
山寺宏一,168
刘德华,17176
金城武,4838
古天乐,22675
张学友,12130
古天乐,22675
薛凯琪,6161
周迅,11193
甄子丹,4527
肖央,2093
杨幂,25210
