direct,actor,date,long,type,rate,comment_sum,name,money,year,country
林超贤,张译,2018-02-16,138.0,动作 ,8.3,504640.0,红海行动,365078,2018,cn
陈思诚,王宝强,2018-02-16,121.0,喜剧 ,6.7,450711.0,唐人街探案2,339769,2018,cn
吴京,吴京,2017-07-27,123.0,动作,7.1,570724.0,战狼2,567925,2017,cn
周星驰,邓超,2016-02-08,93.0,喜剧 ,6.7,467457.0,美人鱼,339211,2016,cn
文牧野,徐峥,2018-07-05,117.0,剧情 ,9.0,814468.0,我不是药神,309713,2018,cn
许诚毅,白百何,2015-07-16,118.0,喜剧 ,6.7,306994.0,捉妖记,244002,2015,cn
闫非 ,沈腾,2018-07-27,118.0,喜剧,6.6,425739.0,西虹市首富,254718,2018,cn
许诚毅,梁朝伟,2018-02-16,110.0,喜剧 ,5.0,176057.0,捉妖记2,223707,2018,cn
宋阳 ,艾伦,2017-09-30,100.0,喜剧 ,6.9,414061.0,羞羞的铁拳,220175,2017,cn
迈克尔·贝,马克·沃尔伯格,2014-06-27,166.0,动作 ,6.5,215443.0,变形金刚4：绝迹重生,197752,2014,cn
唐季礼,成龙,2017-01-28,108.0,喜剧 ,5.0,120763.0,功夫瑜伽,175260,2017,cn
田羽生,韩庚,2017-12-29,120.0,喜剧 ,5.5,252173.0,前任3：再见前任,194083,2017,cn
乌尔善,陈坤,2015-12-18,125.0,剧情 ,7.5,389814.0,寻龙诀,168274,2015,cn
徐克,吴亦凡,2017-01-28,108.0,喜剧 ,5.6,257112.0,西游伏妖篇,165593,2017,cn
闫非 ,沈腾,2015-09-30,104.0,喜剧 ,7.5,454780.0,夏洛特烦恼,144161,2015,cn
徐峥,徐峥,2015-09-25,114.0,喜剧,5.6,244916.0,港囧,161410,2015,cn
冯小刚,黄轩,2017-12-15,136.0,剧情 ,7.6,498086.0,芳华,142241,2017,cn
刘若英,井柏然,2018-04-28,120.0,剧情 ,5.9,211567.0,后来的我们,136152,2018,cn
黄渤,黄渤,2018-08-10,134.0,剧情 ,7.2,427663.0,一出好戏,135132,2018,cn
徐峥,徐峥,2012-12-12,105.0,喜剧,7.4,502188.0,人再囧途之泰囧,127193,2012,cn
庄文强,周润发,2018-09-30,130.0,剧情 ,8.2,266045.0,无双,127168,2018,cn
周星驰 ,文章,2013-02-10,110.0,喜剧 ,7.1,397009.0,西游降魔篇,124699,2013,cn
郑保瑞,郭富城,2016-02-08,120.0,喜剧 ,5.6,105811.0,西游记之孙悟空三打白骨精,120101,2016,cn
张艺谋,马特·达蒙,2016-12-16,104.0,动作 ,4.9,262100.0,长城,117457,2016,cn
林超贤,张涵予,2016-09-30,124.0,动作 ,8.0,428163.0,湄公河行动,118535,2016,cn
宁浩,黄渤,2014-09-30,118.0,喜剧 ,7.0,298925.0,心花路放,116934,2014,cn
大鹏,大鹏,2015-07-17,113.0,喜剧,5.9,241891.0,煎饼侠,116276,2015,cn
王晶 ,周润发,2016-02-08,112.0,喜剧 ,4.0,79608.0,澳门风云3,111818,2016,cn
韩寒,邓超,2017-01-28,102.0,剧情 ,6.8,359304.0,乘风破浪,104853,2017,cn
郑保瑞,甄子丹,2014-01-31,119.0,动作 ,4.1,111009.0,西游记之大闹天宫,104550,2014,cn
吕寅荣 ,杰克·布莱克,2016-01-29,95.0,喜剧 ,7.6,205264.0,功夫熊猫3,100200,2016,cn
李仁港,井柏然,2016-08-05,123.0,悬疑 ,4.7,137566.0,盗墓笔记,100453,2016,cn
王晶 ,周润发,2015-02-19,110.0,喜剧 ,5.5,100836.0,澳门风云2,97486,2015,cn
田晓鹏,张磊,2015-07-10,89.0,喜剧 ,8.2,419854.0,西游记之大圣归来,95652,2015,cn
雷尼·哈林,成龙,2016-07-21,111.0,喜剧 ,5.6,64593.0,绝地逃亡,88950,2016,cn
管虎,冯小刚,2015-12-24,137.0,剧情 ,7.8,461855.0,老炮儿,90280,2015,cn
苏伦,雷佳音,2018-05-18,101.0,喜剧 ,6.9,274104.0,超时空同居,89988,2018,cn
徐克,张涵予,2014-12-23,141.0,动作 ,7.7,242769.0,智取威虎山,88326,2014,cn
成龙,成龙,2012-12-20,122.0,喜剧 ,6.6,209677.0,十二生肖,88118,2012,cn
克里斯托弗·麦奎里,汤姆·克鲁斯,2015-09-08,131.0,动作 ,7.7,210439.0,碟中谍5：神秘国度,86977,2015,cn
张一白,邓超,2016-09-29,113.0,喜剧 ,5.2,190226.0,从你的全世界路过,81423,2016,cn
陈思诚,王宝强,2018-02-16,121.0,喜剧 ,6.7,450715.0,唐人街探案,82442,2015,cn
薛晓路,汤唯,2016-04-29,131.0,喜剧 ,6.5,171324.0,北京遇上西雅图之不二情书,78680,2016,cn
叶伟信,甄子丹,2016-03-04,105.0,剧情 ,6.3,80630.0,叶问3,77031,2016,cn
沙恩·布莱克,小罗伯特·唐尼,2013-05-01,134.0,动作 ,7.7,258932.0,钢铁侠3,75487,2013,cn
王宝强,王宝强,2017-01-28,100.0,喜剧 ,3.7,77915.0,大闹天竺,75793,2017,cn
李芳芳,章子怡,2018-01-12,138.0,剧情 ,7.6,364102.0,无问西东,75430,2018,cn
李仁港,成龙,2015-02-19,127.0,动作 ,5.9,75691.0,天将雄师,74418,2015,cn
郑保瑞,郭富城,2018-02-16,116.0,喜剧 ,4.4,90765.0,西游记女儿国,72726,2018,cn
冯小刚,葛优,2013-12-19,118.0,喜剧,5.6,202817.0,私人订制,71380,2013,cn
让-雅克·阿诺,冯绍峰,2015-02-19,121.0,剧情 ,6.9,157502.0,狼图腾,70425,2015,cn
乌尔善,周迅,2012-06-28,135.0,剧情 ,5.9,179678.0,画皮2,70211,2012,cn
丁晟,成龙,2016-12-23,124.0,喜剧 ,5.1,67128.0,铁道飞虎,69985,2016,cn
谢涤葵 ,林志颖,2014-01-31,95.0,喜剧 ,6.0,76285.0,爸爸去哪儿,69673,2014,cn
郭子健,彭于晏,2017-07-13,123.0,剧情 ,5.0,159902.0,悟空传,69654,2017,cn
陆川,赵又廷,2015-09-30,115.0,动作 ,4.2,134692.0,九层妖塔,68293,2015,cn
梁乐民 ,郭富城,2016-07-08,110.0,剧情 ,6.9,161261.0,寒战2,67826,2016,cn
俞白眉 ,邓超,2014-06-27,116.0,喜剧 ,5.0,206249.0,分手大师,66544,2014,cn
宋晓飞 ,肖央,2016-12-30,116.0,喜剧,6.0,94740.0,情圣,65886,2016,cn
姜文,姜文,2010-12-16,132.0,剧情 ,8.7,776052.0,让子弹飞,65355,2010,cn
俞白眉 ,邓超,2015-12-24,124.0,喜剧,4.0,99544.0,恶棍天使,64959,2015,cn
