战狼2,567925,2017
红海行动,365078,2018
唐人街探案2,339769,2018
美人鱼,339211,2016
我不是药神,309713,2018
西虹市首富,254718,2018
捉妖记,244002,2015
捉妖记2,223707,2018
羞羞的铁拳,220175,2017
变形金刚4：绝迹重生,197752,2014
前任3：再见前任,194083,2017
功夫瑜伽,175260,2017
寻龙诀,168274,2015
西游伏妖篇,165593,2017
港囧,161410,2015
夏洛特烦恼,144161,2015
芳华,142241,2017
后来的我们,136152,2018
一出好戏,135132,2018
人再囧途之泰囧,127193,2012
无双,127168,2018
西游降魔篇,124699,2013
西游记之孙悟空三打白骨精,120101,2016
湄公河行动,118535,2016
长城,117457,2016
心花路放,116934,2014
煎饼侠,116276,2015
澳门风云3,111818,2016
乘风破浪,104853,2017
西游记之大闹天宫,104550,2014
盗墓笔记,100453,2016
功夫熊猫3,100200,2016
澳门风云2,97486,2015
西游记之大圣归来,95652,2015
老炮儿,90280,2015
超时空同居,89988,2018
绝地逃亡,88950,2016
智取威虎山,88326,2014
十二生肖,88118,2012
碟中谍5：神秘国度,86977,2015
唐人街探案,82442,2015
从你的全世界路过,81423,2016
北京遇上西雅图之不二情书,78680,2016
叶问3,77031,2016
大闹天竺,75793,2017
钢铁侠3,75487,2013
无问西东,75430,2018
天将雄师,74418,2015
西游记女儿国,72726,2018
致我们终将逝去的青春,71918,2013
私人订制,71380,2013
狼图腾,70425,2015
画皮2,70211,2012
铁道飞虎,69985,2016
爸爸去哪儿,69673,2014
悟空传,69654,2017
九层妖塔,68293,2015
寒战2,67826,2016
分手大师,66544,2014
情圣,65886,2016
让子弹飞,65355,2010
唐山大地震,65016,2010
恶棍天使,64959,2015
后会无期,62881,2014
影,62828,2018
狄仁杰之四大天王,60642,2018
使徒行者,60631,2016
熊出没·变形记,60550,2018
李茶的姑妈,60391,2018
狄仁杰之神都龙王,60078,2013
金陵十三钗,59237,2011
匆匆那年,58850,2014
邪不压正,58348,2018
追龙,57465,2017
大鱼海棠,56533,2016
杀破狼2,56050,2015
爱情公寓,55472,2018
战狼,54555,2015
龙门飞甲,54031,2011
中国合伙人,53880,2013
英伦对决,53695,2017
三生三世十里桃花,53454,2017
警察故事2013,53439,2013
妖猫传,52974,2017
澳门风云,52479,2014
熊出没之奇幻空间,52249,2017
杀破狼·贪狼,52157,2017
小时代3：刺金时代,52156,2014
北京遇上西雅图,52017,2013
一步之遥,51495,2014
滚蛋吧！肿瘤君,51181,2015
动物世界,50899,2018
小时代4：灵魂尽头,48842,2015
左耳,48522,2015
小时代,48478,2013
我不是潘金莲,48373,2016
摆渡人,48297,2016
厉害了，我的国,48056,2018
非诚勿扰2,47159,2010
缝纫机乐队,45671,2017
同桌的你,45576,2014
敢死队3,45327,2014
奔跑吧！兄弟,44644,2015
反贪风暴3,44081,2018
百团大战,41367,2015
京城81号,41232,2014
建党伟业,41041,2011
钟馗伏魔：雪妖魔灵,40923,2015
北京爱情故事,40555,2014
建军大业,40348,2017
嫌疑人X的献身,40203,2017
道士下山,40078,2015
拆弹专家,40049,2017
建国大业,39334,2009
白发魔女传之明月天国,38915,2014
爵迹,38291,2016
栀子花开,37901,2015
快把我哥带走,37411,2018
一九四二,37113,2012
火锅英雄,37054,2016
重返20岁,36612,2015
大话西游3,36605,2016
妖铃铃,36304,2017
幕后玩家,35861,2018
悲伤逆流成河,35491,2018
何以笙箫默,35352,2015
亲爱的,34497,2014
致青春·原来你还在这里,33686,2016
敢死队2,33218,2012
我的特工爷爷,32445,2016
万万没想到,32251,2015
横冲直撞好莱坞,32236,2015
失恋33天,32064,2011
空天猎,31775,2017
黄金兄弟,31532,2018
风暴,31475,2013
窃听风云3,30870,2014
机器之血,30533,2017
烈日灼心,30524,2015
心理罪,30397,2017
天机·富春山居图,30032,2013
奇门遁甲,29964,2017
小时代2：青木时代,29630,2013
熊出没之雪岭熊风,29572,2015
记忆大师,29292,2017
二代妖精之今生有幸,29217,2017
归来,29147,2014
一代宗师,28924,2013
熊出没之熊心归来,28775,2016
微爱之渐入佳境,28637,2014
狄仁杰之通天帝国,28620,2010
找到你,28450,2018
咱们结婚吧,28449,2015
不二神探,28401,2013
封神传奇,28397,2016
有一个地方只有我们知道,28365,2015
十月围城,27970,2009
赤壁(上),27686,2008
微微一笑很倾城,27585,2016
催眠大师,27389,2014
厨子戏子痞子,27284,2013
绣春刀·修罗战场,26569,2017
胖子行动队,26081,2018
王牌逗王牌,26034,2016
非诚勿扰,26000,2008
无人区,25963,2013
卧虎藏龙：青冥宝剑,25625,2016
前任2：备胎反击战,25200,2015
极盗者,24855,2015
熊出没之夺宝熊兵,24808,2014
三枪拍案惊奇,24388,2009
赤壁(下),24354,2009
扫毒,23791,2013
侠盗联盟,23687,2017
南极之恋,23448,2018
听风者,23220,2012
叶问2：宗师传奇,23111,2010
撒娇女人最好命,23049,2014
一生一世,22851,2014
无名之辈,22636,2018
心理罪之城市之光,22409,2017
爸爸去哪儿2,22352,2015
解忧杂货店,22305,2017
京城81号2,21887,2017
失孤,21618,2015
我是证人,21527,2015
盲探,21420,2013
赏金猎人,21351,2016
新少林寺,21258,2011
喜欢你,21075,2017
赤道,20974,2015
反贪风暴2,20909,2016
窃听风云2,20896,2011
老男孩之猛龙过江,20887,2014
风声,20519,2009
闺蜜,20494,2014
画皮,20471,2008
痞子英雄2：黎明升起,20429,2014
猛虫过江,20361,2018
逆时营救,20123,2017
