速度与激情8,267096,2017
速度与激情7,242659,2015
复仇者联盟3：无限战争,239053,2018
变形金刚4：绝迹重生,197752,2014
侏罗纪世界2,169551,2018
毒液：致命守护者,160357,2018
变形金刚5：最后的骑士,155124,2017
疯狂动物城,153035,2016
魔兽,147230,2016
复仇者联盟2：奥创纪元,146439,2015
侏罗纪世界,142073,2015
头号玩家,139666,2018
阿凡达,133990,2010
美国队长3：英雄内战,124635,2016
碟中谍6：全面瓦解,124203,2018
寻梦环游记,121186,2017
加勒比海盗5：死无对证,117991,2017
长城,117457,2016
金刚：骷髅岛,116050,2017
极限特工：终极回归,112741,2017
生化危机：终章,111182,2017
变形金刚3,107189,2011
巨齿鲨,104891,2018
神偷奶爸3,103780,2017
狂暴巨兽,100395,2018
功夫熊猫3,100200,2016
奇幻森林,97939,2016
泰坦尼克号3D,94620,2012
绝地逃亡,88950,2016
碟中谍5：神秘国度,86977,2015
蚁人2：黄蜂女现身,82927,2018
星球大战：原力觉醒,82558,2016
X战警：天启,80292,2016
蜘蛛侠：英雄归来,77414,2017
霍比特人3：五军之战,76650,2015
星际穿越,75533,2014
钢铁侠3,75487,2013
奇异博士,75170,2016
雷神3：诸神黄昏,74303,2017
猩球崛起3：终极之战,73978,2017
金刚狼3：殊死一战,73163,2017
终结者：创世纪,72536,2015
X战警：逆转未来,72297,2014
美国队长2：冬日战士,71853,2014
猩球崛起2：黎明之战,70923,2014
环太平洋,69475,2013
正义联盟,69011,2017
银河护卫队2,68611,2017
碟中谍4,67225,2012
蚁人,67176,2015
摩天营救,66975,2018
黑豹,66259,2018
惊天魔盗团2,63897,2016
环太平洋2：雷霆再起,63322,2018
末日崩塌,62967,2015
新木乃伊,62560,2017
蝙蝠侠大战超人：正义黎明,61910,2016
功夫熊猫2,61207,2011
神奇女侠,61010,2017
一条狗的使命,60808,2017
银河护卫队,59612,2014
神奇动物在哪里,59174,2016
美女与野兽,59165,2017
2012世界末日,58812,2009
火星救援,58690,2015
超凡蜘蛛侠2,58559,2014
少年派的奇幻漂流,57290,2012
复仇者联盟,56851,2012
007：幽灵党,54209,2015
超能陆战队,52644,2015
愤怒的小鸟,51398,2016
黑衣人3,50343,2012
独立日：卷土重来,50324,2016
古墓丽影：源起之战,49747,2018
勇敢者游戏：决战丛林,49193,2018
哥斯拉,48142,2014
星球大战外传：侠盗一号,47818,2017
王牌特工2：黄金圈,47385,2017
加勒比海盗4：惊涛怪浪,46447,2011
霍比特人2：史矛革之战,46272,2014
盗梦空间,46236,2010
敢死队3,45327,2014
冰川时代4：大陆漂移,44743,2012
冰川时代5：星际碰撞,44730,2016
谍影重重5,44714,2016
灰姑娘,44478,2015
星际迷航3：超越星辰,44101,2016
小黄人大眼萌,43580,2015
地心引力,43564,2013
全球风暴,43380,2017
血战钢锯岭,42659,2016
速度与激情6,41331,2013
极品飞车,41168,2014
钟馗伏魔：雪妖魔灵,40923,2015
明日边缘,40642,2014
变形金刚2,40366,2009
驯龙高手2,40333,2014
哈利·波特与死亡圣器(下),40245,2011
道士下山,40078,2015
疯狂原始人,39473,2013
超人：钢铁之躯,39449,2013
忍者神龟2：破影而出,39360,2016
爱宠大机密,38924,2016
爱丽丝梦游仙境2：镜中奇遇记,38715,2016
忍者神龟：变种时代,38679,2014
地心历险记2：神秘岛,38655,2012
荒野猎人,37740,2016
007：大破天幕杀机,37615,2013
超人总动员2,35418,2018
星际迷航：暗黑无界,35298,2013
侏罗纪公园,34947,2013
雷神2：黑暗世界,34240,2013
神奇动物：格林德沃之罪,34013,2018
伦敦陷落,33982,2015
敦刻尔克,33960,2017
机械师2：复活,33898,2016
蝙蝠侠：黑暗骑士崛起,33879,2012
特种部队2：全面反击,33806,2013
敢死队2,33218,2012
神偷奶爸2,32411,2014
博物馆奇妙夜3,32309,2015
横冲直撞好莱坞,32236,2015
霍比特人1：意外旅程,31629,2013
移动迷宫3：死亡解药,31528,2018
机械战警,31487,2014
超凡蜘蛛侠,31457,2012
太空旅客,31449,2017
异形：契约,31117,2017
超级战舰,31011,2012
泰山归来：险战丛林,30612,2016
冰雪奇缘,29836,2014
沉睡魔咒,29625,2014
木星上行,28439,2015
星球大战：最后的绝地武士,26794,2018
异星战场,26011,2012
卧虎藏龙：青冥宝剑,25625,2016
海底总动员2：多莉去哪儿,25423,2016
金蝉脱壳,25388,2013
马达加斯加的企鹅,25321,2014
蓝精灵,25253,2011
速度与激情5,25217,2011
金刚狼2,24971,2013
极盗者,24855,2015
爱乐之城,24781,2017
里约大冒险2,24246,2014
神战：权力之眼,23543,2016
东方快车谋杀案,23003,2017
爱丽丝梦游仙境,22898,2010
海洋奇缘,22702,2016
洛杉矶之战,22604,2011
饥饿游戏3：嘲笑鸟(上),22510,2015
普罗米修斯,22321,2012
精灵旅社3：疯狂假期,22292,2018
寂静之地,22090,2018
敢死队,21631,2010
欢乐好声音,21621,2017
铁血战士,21608,2018
重返地球,21459,2013
谍影重重4,21315,2012
马达加斯加3,21008,2012
怪兽大学,20968,2013
攻壳机动队,20256,2017
虎胆龙威5,20126,2013
移动迷宫2,19691,2015
奇迹男孩,19149,2018
大侦探福尔摩斯2,18807,2012
猩球崛起,18436,2011
最后的巫师猎人,17989,2016
惊天危机,17727,2013
钢铁侠2,17510,2010
饥饿游戏,17466,2012
蓝精灵：寻找神秘村,17393,2017
第七子：降魔之战,17294,2015
疯狂外星人,17215,2015
公牛历险记,17201,2018
诸神之战,17198,2010
饥饿游戏2：星火燎原,17194,2013
云图,17020,2013
比得兔,16839,2018
比利·林恩的中场战事,16518,2016
刺客信条,16104,2017
一触即发,16064,2014
诸神之怒,16030,2012
极乐空间,15976,2013
波斯王子：时之刃,15907,2010
哈利·波特与混血王子,15524,2009
功夫熊猫,15238,2008
冰川时代3,15075,2009
移动迷宫,15044,2014
遗落战境,14850,2013
功夫之王,14583,2008
饥饿游戏3：嘲笑鸟（下）,14350,2015
圆梦巨人,14325,2016
惊天魔盗团,14300,2013
里约大冒险,13981,2011
王牌保镖,13967,2017
安德的游戏,13876,2014
青蜂侠,13819,2011
蓝精灵2,13775,2013
赛车总动员3：极速挑战,13705,2017
