room,hall,bathroom,size,floor,subway_distance,attention,visit,unit_price,price
1,1,1,66.45,28,1097,2,10,57938,385
2,1,1,56.7,6,429,5,11,93474,530
2,1,1,57.47,6,978,9,13,71342,410
1,1,1,61.26,17,,5,10,46523,285
3,1,2,141.37,17,1409,4,12,34307,485
2,1,1,80.84,15,1255,9,7,49357,399
1,1,1,45.77,25,414,4,12,89578,410
2,1,1,59.6,6,528,7,11,119966,715
2,1,1,66.82,7,748,6,15,52828,353
1,1,1,55.08,21,346,1,10,77705,428
1,1,1,30.13,18,530,34,14,138732,418
2,1,1,65,20,944,14,16,56000,364
2,1,1,62.08,6,1016,9,10,75387,468
2,1,1,76.93,14,447,7,12,102691,790
4,2,2,163.4,14,1047,0,11,36659,599
2,1,1,82,18,620,7,10,82927,680
3,1,2,127.41,17,559,4,10,103603,1320
2,1,2,39.09,16,530,11,7,137119,536
3,2,1,97.14,16,799,6,12,102944,1000
2,1,1,66.5,6,748,23,8,52331,348
2,1,1,72.38,21,504,35,9,49737,360
3,1,1,70.61,10,590,7,17,118963,840
2,1,1,61.5,16,591,3,12,120000,738
3,1,2,140.89,7,434,6,16,38683,545
3,1,1,62.29,5,573,25,13,60202,375
2,1,1,76.56,28,608,36,11,82158,629
2,1,1,79.75,25,522,45,9,45768,365
2,1,1,50.7,6,398,25,11,81854,415
1,1,1,43.59,18,627,20,0,55058,240
2,1,1,59.1,6,417,5,9,77834,460
2,1,1,40.1,5,290,11,19,149626,600
2,1,1,57.14,6,404,11,20,56003,320
2,1,1,56.5,5,319,24,44,56283,318
2,1,1,56.4,16,1151,6,48,149823,845
1,1,1,60.88,18,734,52,17,44350,270
2,1,1,62.27,16,446,6,21,110808,690
2,1,1,84.8,6,1370,4,23,42335,359
3,1,1,79.23,24,1042,15,14,60583,480
2,1,1,57.2,6,831,6,21,125000,715
2,1,1,57.3,6,1151,8,39,142408,816
2,1,2,124.13,7,404,30,18,140981,1750
3,1,2,138.46,25,230,4,16,79445,1100
1,1,1,47.8,18,688,11,26,134937,645
2,1,1,74,16,1151,36,37,125405,928
2,1,1,55.2,13,437,11,23,125000,690
3,1,1,89.6,17,729,10,29,53571,480
2,1,1,61.17,6,845,27,18,92856,568
2,1,1,53.97,6,867,31,52,68538,369
2,1,1,93.94,11,203,12,22,71961,676
1,2,1,70.98,28,631,0,2,58467,415
3,1,1,59.7,6,1255,0,3,149916,895
2,1,1,57.7,15,228,19,34,56846,328
2,1,1,63,7,1163,1,20,126349,796
2,1,1,50.6,5,264,24,17,97826,495
3,1,1,78.34,18,152,0,3,62548,490
1,1,1,43.18,6,652,5,2,86846,375
1,1,1,47.22,14,697,2,5,78357,370
1,1,1,46.95,30,105,3,1,69223,325
2,1,1,92.36,33,382,0,11,44392,410
2,1,1,86.62,6,,3,9,32902,285
3,1,1,73,20,592,4,2,139726,1020
2,1,1,55.59,6,922,5,3,78251,435
2,1,1,68.16,18,447,3,1,58539,399
3,1,1,96.43,6,,4,5,46977,453
3,2,2,131.96,6,1063,1,4,35238,465
3,1,1,81.6,18,741,12,7,55147,450
3,1,1,88.01,6,578,0,1,105215,926
1,1,1,44.61,20,530,13,8,89218,398
3,2,2,134.78,6,761,15,4,33017,445
2,1,1,66.4,6,,8,4,67018,445
2,1,1,91.45,16,276,4,1,56862,520
2,1,1,61.1,6,552,9,4,79378,485
3,1,1,110.16,18,378,9,1,85330,940
3,2,2,87.48,9,1181,3,2,121742,1065
2,2,1,103.3,28,997,25,6,61955,640
2,1,1,97.82,25,819,5,6,49888,488
1,1,1,45.47,27,570,18,7,74335,338
2,2,1,100.39,18,353,2,1,58771,590
2,1,1,62.9,14,1291,12,7,143084,900
3,1,1,67.4,16,1240,19,8,78190,527
3,2,2,90.08,10,913,12,5,63277,570
3,1,1,110.48,19,470,16,5,83997,928
3,2,2,145.93,10,,5,5,38717,565
3,1,1,86.49,20,961,1,5,80934,700
3,2,2,115.52,22,,17,1,57566,665
1,1,1,69.53,21,327,2,2,75651,526
3,2,2,143.06,23,619,10,6,58018,830
3,2,2,121.87,6,1296,5,8,37745,460
3,1,1,57.9,6,914,17,7,127979,741
1,1,1,46.65,6,833,44,7,55734,260
1,1,1,78.24,11,745,2,3,117587,920
2,1,1,83.91,21,,4,1,84019,705
2,1,1,73.21,15,376,12,6,98347,720
2,1,1,100.22,6,967,12,1,42207,423
2,1,1,96.94,28,476,1,6,123788,1200
2,2,1,88.93,11,913,7,1,55999,498
2,1,1,90.24,12,723,8,3,60949,550
2,1,1,67.15,22,900,5,3,64780,435
2,2,1,91.53,12,415,11,5,89588,820
2,1,1,54.23,6,902,53,5,89434,485
3,2,2,160.26,18,688,3,9,63335,1015
3,2,2,125.33,20,555,4,2,65427,820
1,1,1,41.22,17,485,5,13,89762,370
3,1,1,73.3,6,375,2,5,133970,982
2,1,1,97.38,6,,4,5,45081,439
1,1,1,45.28,18,203,10,7,73984,335
2,1,1,53.3,6,590,3,3,112195,598
2,1,1,57.6,6,973,6,3,84201,485
3,1,1,68.34,6,1131,8,5,91454,625
2,2,1,107.34,9,,23,3,65213,700
3,1,1,81.4,6,947,7,6,125307,1020
1,1,1,62.94,20,203,6,4,68796,433
1,1,1,48.1,6,271,8,3,108108,520
2,1,1,62.8,7,1068,6,5,82803,520
2,1,1,49.8,23,844,7,2,88353,440
2,1,1,81.5,6,675,0,1,84908,692
2,1,1,80.8,6,479,7,2,111386,900
2,1,1,50.4,5,633,12,5,82341,415
2,1,1,95.62,16,276,3,2,54277,519
2,2,1,86.6,16,634,15,2,91224,790
3,2,2,154.27,12,1272,3,6,41162,635
2,2,1,96.31,29,684,4,4,71124,685
2,1,1,71.8,16,1178,13,5,76602,550
3,1,1,87.1,16,441,10,2,122273,1065
