room,hall,bathroom,size,floor,subway_distance,attention,visit,unit_price,price
1,1,1,44.38,18,793,0,3,81118,360
2,1,1,60.44,6,549,8,5,62541,378
1,1,1,54.48,10,971,11,3,62041,338
1,0,1,48.71,19,452,1,1,54404,265
1,1,1,58.39,12,1477,3,0,56517,330
1,1,1,82.52,10,402,2,1,119365,985
2,1,1,58.5,18,662,2,3,56410,330
2,1,1,83.89,28,952,4,6,71999,604
2,1,1,97,9,,0,5,40928,397
3,2,2,193.95,23,576,0,7,72184,1400
2,1,1,62.01,6,440,5,2,99984,620
3,2,2,136.37,18,943,0,2,102662,1400
2,1,1,93.48,6,997,6,0,47069,440
3,1,1,95.49,12,376,6,3,101581,970
3,2,2,134.86,6,761,1,1,38559,520
2,1,1,92.72,6,997,3,1,46915,435
4,2,2,228.33,17,453,5,1,85841,1960
2,1,1,67.8,4,825,6,1,82596,560
2,1,1,90.72,30,,3,1,66027,599
2,1,1,87.6,30,1083,5,4,50228,440
3,1,1,112.97,6,,3,3,41604,470
3,1,1,77.22,6,902,5,3,99068,765
2,1,1,86.9,6,997,4,1,52934,460
3,2,2,152.14,19,832,3,8,108453,1650
2,1,1,70.43,18,808,5,3,93710,660
1,1,1,54.24,6,1427,0,1,75590,410
2,2,1,130.03,25,431,2,1,73829,960
2,1,1,56.95,14,274,1,2,94820,540
2,1,1,74.79,28,861,12,4,60168,450
3,1,1,93.61,15,517,5,1,88666,830
2,1,1,67.86,6,,3,0,51503,349
3,2,2,135.2,21,417,7,0,80621,1090
2,1,1,100.32,22,1277,0,0,104665,1050
2,1,1,116.51,21,424,1,0,71925,838
2,1,1,65.43,4,902,5,0,53492,350
3,1,1,66.11,12,547,5,0,94539,625
2,1,1,88.44,11,291,5,0,72931,645
2,1,1,56.7,5,520,2,0,89947,510
1,1,1,42.76,6,868,40,0,65482,280
2,1,1,62,18,1149,17,0,60968,378
1,1,1,68.7,16,900,0,0,78603,540
2,1,1,57,6,476,8,0,135088,770
3,2,2,173.14,22,92,1,0,90678,1570
3,2,2,146.73,9,692,0,0,51796,760
2,1,1,62,16,1018,42,0,56452,350
2,1,1,70.51,7,644,12,0,66657,470
2,1,1,93.77,25,427,4,0,77850,730
2,1,1,84.67,11,291,6,0,73225,620
2,2,2,112.02,12,351,3,0,63917,716
3,2,2,141.81,18,434,6,0,38079,540
2,1,1,62,6,731,106,1,46774,290
2,1,1,59.93,16,1027,12,0,108460,650
2,1,1,87.59,30,1083,2,0,52517,460
2,2,1,98.32,28,1098,1,0,63059,620
3,1,1,70.12,16,509,6,0,72732,510
1,1,1,51.8,6,590,3,0,100000,518
3,2,1,122.7,5,638,9,0,68460,840
4,1,2,142.8,6,657,10,0,68627,980
3,2,2,197.09,17,1124,8,0,95794,1888
3,1,1,171.81,13,696,0,0,81485,1400
2,2,2,113.85,25,,2,3,65876,750
2,1,1,92.06,18,704,1,1,64089,590
2,1,1,85.52,14,588,4,0,56127,480
1,1,1,38.79,27,325,5,6,92292,358
3,1,1,125.3,6,,0,2,39904,500
2,2,1,87.61,26,827,1,2,81041,710
2,1,1,86.9,19,829,5,3,48331,420
2,1,1,57.25,27,,2,1,63755,365
1,1,1,66.2,6,287,7,1,58157,385
1,1,1,46.9,24,385,11,1,76759,360
2,1,1,72.76,28,608,5,3,97581,710
3,1,1,106.47,6,495,12,2,51658,550
4,2,2,142.17,16,1010,3,3,65415,930
4,2,2,170.71,6,893,0,1,35733,610
3,1,1,99.55,16,541,4,2,100452,1000
2,1,1,57.52,6,449,5,1,110396,635
3,2,1,130.79,28,744,6,3,67283,880
3,1,1,67.33,14,90,28,1,86143,580
3,2,2,152.11,26,568,10,2,93353,1420
3,1,2,91.35,6,660,10,1,120416,1100
2,1,1,104.13,12,503,0,0,89311,930
3,2,2,127.12,7,763,17,0,102266,1300
1,1,1,34.22,12,639,0,1,127995,438
2,1,1,63.6,20,652,1,2,94340,600
1,1,1,46.39,34,105,0,2,65747,305
2,1,2,107.84,29,221,0,4,78079,842
2,2,2,121.44,30,1196,0,1,62582,760
2,1,1,57.8,6,405,1,1,73529,425
3,1,2,109.8,22,303,7,5,130009,1427
2,1,1,88.34,10,1374,5,1,63165,558
4,1,3,198.74,26,,0,3,54342,1080
2,1,1,61.3,17,535,61,4,118271,725
2,1,1,60.7,16,264,9,3,74135,450
2,1,1,96.75,25,,5,7,97158,940
2,1,1,87,23,,9,6,48046,418
2,1,1,112.2,11,554,2,1,49465,555
4,1,1,128.7,6,129,3,2,93085,1198
1,1,1,58.81,18,807,12,1,73117,430
2,1,1,51.45,4,1116,3,0,96210,495
2,1,1,58.94,6,387,12,0,59382,350
2,1,1,99.52,15,,1,1,63304,630
4,2,2,218.23,4,1189,7,0,37117,810
3,2,1,92.77,6,278,5,1,99925,927
1,1,1,65.28,16,536,4,0,73529,480
1,1,1,78.31,27,555,0,0,64487,505
3,2,2,145.84,6,865,2,0,40455,590
1,1,1,67.52,15,1295,0,0,73460,496
3,1,1,75.7,27,541,5,0,64069,485
2,1,1,65.46,6,572,2,0,48885,320
3,1,1,94.91,7,1079,1,0,56369,535
3,2,2,143.19,29,236,0,0,54333,778
1,1,1,52.94,6,790,1,0,86891,460
1,1,1,69.46,18,1217,2,0,59027,410
2,1,1,62,6,1027,3,0,98065,608
3,1,1,87.1,18,1149,12,0,52813,460
1,1,1,64.31,16,180,4,0,54424,350
3,2,1,155.42,30,571,1,0,51473,800
3,2,2,148.23,20,834,1,0,64764,960
2,1,1,73.76,21,1138,4,0,58568,432
2,1,1,60.19,7,532,5,0,78086,470
3,2,2,133.6,28,861,12,0,51272,685
3,2,2,140.99,6,659,5,0,45961,648
3,1,2,118.82,12,376,4,0,106043,1260
2,1,1,73.93,6,978,10,0,64656,478
3,2,2,153.19,18,861,4,6,47653,730
2,1,1,54.93,6,,25,1,64628,355
2,1,1,57.97,18,620,1,0,90564,525
1,1,1,63.31,16,368,2,0,109935,696
2,1,1,98.33,24,652,1,0,54917,540
3,2,2,147.1,23,1361,0,0,95105,1399
3,2,2,147.91,22,834,0,0,89920,1330
3,1,1,118.48,6,1159,0,0,38825,460
2,1,1,75.01,6,879,0,0,49993,375
2,1,1,61.4,6,697,2,0,83062,510
1,1,1,47.17,6,474,4,0,59996,283
2,1,2,96.7,25,816,1,0,53775,520
1,1,1,70.25,13,576,4,0,49822,350
3,2,2,173.35,16,,0,0,66917,1160
1,1,1,59.44,18,587,2,0,50471,300
2,1,1,119.02,8,762,1,0,64275,765
3,2,2,131.65,6,968,3,0,47095,620
2,1,1,113.37,21,600,0,0,79386,900
3,1,2,174.22,14,,0,0,77488,1350
3,2,1,88.52,15,1255,1,0,50271,445
3,1,1,115.96,6,878,1,0,48293,560
3,1,1,91.14,7,526,0,0,76805,700
3,1,1,84.3,7,,0,0,87782,740
2,2,1,97.82,30,632,1,0,74627,730
2,1,1,63.42,18,269,0,0,59130,375
2,2,2,98.6,26,861,0,0,54260,535
3,2,2,118.81,6,,5,0,45451,540
3,2,2,158.97,28,608,3,0,89954,1430
1,1,1,49.92,18,363,3,0,96154,480
2,2,1,104.14,6,837,1,0,80181,835
1,1,1,64.31,14,760,16,0,85523,550
1,1,1,44.8,2,452,12,0,100446,450
3,2,2,133.05,6,1254,5,0,72153,960
2,1,1,54.3,6,1093,5,0,93923,510
3,1,1,76.3,6,397,4,0,70773,540
2,1,1,78.71,20,352,44,0,48660,383
1,1,1,75.83,16,447,2,0,76487,580
2,1,1,54.81,6,1138,3,0,87210,478
2,1,1,62.93,16,552,3,0,84221,530
2,2,2,100.5,16,553,7,0,83582,840
3,2,3,138.26,11,553,5,0,92579,1280
3,1,2,50.9,6,468,11,0,149705,762
3,1,1,76.7,6,812,9,0,83442,640
2,2,1,95.77,20,911,2,0,56176,538
2,1,1,65.51,6,73,6,0,94337,618
1,1,1,70.37,20,352,30,0,47890,337
